初始运维部门ID,初始运维部门,一级业务ID,一级业务,二级业务ID,二级业务,三级业务ID,三级业务
1,无线业务系统,123,地图搜索,817489,众包,605023,StreetView.iSharePointServer
1,无线业务系统,59562,地图搜索,817489,众包,605027,StreetView.iShareDatabaseServer
1,无线业务系统,59562,地图搜索,817489,众包,605029,StreetView.iShareLogicServer
1,无线业务系统,59562,地图搜索,817489,众包,609045,StreetView.iSharePayServer
1,无线业务系统,59562,地图搜索,817489,众包,609075,StreetView.iShareInternalDataServer
1,无线业务系统,59562,地图搜索,817489,众包,609187,StreetView.WeixinPayServer
1,无线业务系统,59562,地图搜索,817489,众包,609207,StreetView.iShareWithdrawServer
1,无线业务系统,59562,地图搜索,817489,众包,633433,StreetView.iShareRoadServer
1,无线业务系统,59562,地图搜索,817489,众包,655393,StreetView.iShareUserServer
1,无线业务系统,59562,地图搜索,817489,众包,674998,BGCsystem.iShareDatabaseServer
1,无线业务系统,59562,地图搜索,817489,众包,675001,BGCsystem.iShareInternalDataServer
1,无线业务系统,59562,地图搜索,817489,众包,675004,BGCsystem.iShareLogicServer
1,无线业务系统,59562,地图搜索,817489,众包,675007,BGCsystem.iSharePointServer
1,无线业务系统,59562,地图搜索,817489,众包,675010,BGCsystem.iShareSearchServer
1,无线业务系统,59562,地图搜索,817489,众包,678016,StreetView.iShareBatchPayServer
1,无线业务系统,59562,地图搜索,817489,众包,685168,StreetView.iShareFetchPicServer
1,无线业务系统,59562,地图搜索,817489,众包,708496,StreetView.iShareExternalDataServer
1,无线业务系统,59562,地图搜索,817489,众包,716728,BGCsystem.iSharePOIDadaServer
1,无线业务系统,59562,地图搜索,817489,众包,754819,StreetView.iShareRoadUpdateServer
1,无线业务系统,59562,地图搜索,817489,众包,764611,StreetView.MAPSERVER